Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0, 0.0919,mg N/L,0.091912,Tue Aug 19 20:59:01 2025,1,1
STANDARD 1,,Nitrate 2, 0.0151,mg N/L,0.015124,Tue Aug 19 21:45:24 2025,1,1
STANDARD 90,,Ammonia 2.0, 0.1289,mg N/L,0.128929,Tue Aug 19 21:01:02 2025,1,1
STANDARD 90,,Nitrate 2, 0.0186,mg N/L,0.018612,Tue Aug 19 21:47:27 2025,1,1
STANDARD 91,,Ammonia 2.0, 0.1664,mg N/L,0.166366,Tue Aug 19 21:03:02 2025,1,1
STANDARD 91,,Nitrate 2, 0.0234,mg N/L,0.023384,Tue Aug 19 21:49:29 2025,1,1
STANDARD 92,,Ammonia 2.0, 0.2040,mg N/L,0.203961,Tue Aug 19 21:05:01 2025,1,1
STANDARD 92,,Nitrate 2, 0.0524,mg N/L,0.052354,Tue Aug 19 21:51:32 2025,1,1
STANDARD 93,,Ammonia 2.0, 0.3374,mg N/L,0.337418,Tue Aug 19 21:06:59 2025,1,1
STANDARD 93,,Nitrate 2, 0.1268,mg N/L,0.126824,Tue Aug 19 21:53:34 2025,1,1
STANDARD 94,,Ammonia 2.0, 0.5736,mg N/L,0.573649,Tue Aug 19 21:08:58 2025,1,1
STANDARD 94,,Nitrate 2, 0.2361,mg N/L,0.236097,Tue Aug 19 21:55:37 2025,1,1
STANDARD 95,,Ammonia 2.0, 0.9459,mg N/L,0.945915,Tue Aug 19 21:10:56 2025,1,1
STANDARD 95,,Nitrate 2, 0.4221,mg N/L,0.422066,Tue Aug 19 21:57:39 2025,1,1
STANDARD 0,,Ammonia 2.0, 0.1010,mg N/L,0.101005,Tue Aug 19 21:12:55 2025,1,1
STANDARD 0,,Nitrate 2, 0.0121,mg N/L,0.012083,Tue Aug 19 21:59:44 2025,1,1
C C V,,Ammonia 2.0, 1.0464,mg N/L,0.560697,Tue Aug 19 21:14:54 2025,1,1
C C V,,Nitrate 2, 1.2259,mg N/L,0.269082,Tue Aug 19 22:01:49 2025,1,1
C C B ,,Ammonia 2.0,-0.0446,mg N/L,0.098516,Tue Aug 19 21:16:55 2025,1,1
C C B ,,Nitrate 2,-0.0143,mg N/L,0.010369,Tue Aug 19 22:02:43 2025,1,1
MQ WATER,,Ammonia 2.0,-0.0795,mg N/L,0.083747,Tue Aug 19 21:18:56 2025,1,1
MQ WATER,,Nitrate 2,-0.0192,mg N/L,0.009335,Tue Aug 19 22:03:38 2025,1,1
1,,Ammonia 2.0, 0.5476,mg N/L,0.349388,Tue Aug 19 21:20:35 2025,1,1
1,,Nitrate 2, 0.0377,mg N/L,0.021212,Tue Aug 19 22:04:33 2025,1,1
2,,Ammonia 2.0, 0.3770,mg N/L,0.277138,Tue Aug 19 21:22:13 2025,1,1
2,,Nitrate 2, 0.0317,mg N/L,0.019947,Tue Aug 19 22:05:27 2025,1,1
3,,Ammonia 2.0, 0.3845,mg N/L,0.280282,Tue Aug 19 21:24:54 2025,1,1
3,,Nitrate 2, 0.1632,mg N/L,0.047379,Tue Aug 19 22:06:22 2025,1,1
4,,Ammonia 2.0, 0.4932,mg N/L,0.326366,Tue Aug 19 21:28:46 2025,1,1
4,,Nitrate 2, 0.0765,mg N/L,0.029305,Tue Aug 19 22:07:16 2025,1,1
5,,Ammonia 2.0, 0.4390,mg N/L,0.303387,Tue Aug 19 21:32:39 2025,1,1
5,,Nitrate 2, 0.0432,mg N/L,0.022364,Tue Aug 19 22:08:11 2025,1,1
C C V,,Ammonia 2.0, 1.0098,mg N/L,0.545178,Tue Aug 19 21:36:32 2025,1,1
C C V,,Nitrate 2, 1.1711,mg N/L,0.257654,Tue Aug 19 22:09:05 2025,1,1
C C B ,,Ammonia 2.0,-0.0388,mg N/L,0.100984,Tue Aug 19 21:40:22 2025,1,1
C C B ,,Nitrate 2,-0.0152,mg N/L,0.010168,Tue Aug 19 22:10:00 2025,1,1
