Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,bray-p 1,0.0046,mgP/L,0.004639,Thu Jul 10 16:39:24 2025,1,1
STANDARD 90,,bray-p 1,0.0104,mgP/L,0.010361,Thu Jul 10 16:40:41 2025,1,1
STANDARD 91,,bray-p 1,0.0199,mgP/L,0.019858,Thu Jul 10 16:41:58 2025,1,1
STANDARD 92,,bray-p 1,0.0357,mgP/L,0.035683,Thu Jul 10 16:43:15 2025,1,1
STANDARD 93,,bray-p 1,0.0826,mgP/L,0.082601,Thu Jul 10 16:44:32 2025,1,1
STANDARD 94,,bray-p 1,0.1621,mgP/L,0.162062,Thu Jul 10 16:45:50 2025,1,1
STANDARD 95,,bray-p 1,0.2374,mgP/L,0.237432,Thu Jul 10 16:47:07 2025,1,1
STANDARD 96,,bray-p 1,0.313,mgP/L,0.313022,Thu Jul 10 16:48:24 2025,1,1
STANDARD 0,,bray-p 1,0.0043,mgP/L,0.004269,Thu Jul 10 16:49:42 2025,1,1
C C V,,bray-p 1,0.5343,mgP/L,0.170304,Thu Jul 10 16:51:00 2025,1,1
C C B ,,bray-p 1,-0.0018,mgP/L,0.004321,Thu Jul 10 16:52:20 2025,1,1
111,,bray-p 1,0.9179,mgP/L,0.289089,Thu Jul 10 16:53:39 2025,1,1
112,,bray-p 1,0.2667,mgP/L,0.087438,Thu Jul 10 16:54:57 2025,1,1
113,,bray-p 1,0.8797,mgP/L,0.277245,Thu Jul 10 16:56:15 2025,1,1
114,,bray-p 1,0.3417,mgP/L,0.110669,Thu Jul 10 16:57:33 2025,1,1
115,,bray-p 1,0.3597,mgP/L,0.116243,Thu Jul 10 16:58:50 2025,1,1
116,,bray-p 1,1.0953,mgP/L,0.117919,Thu Jul 10 18:36:47 2025,1,3
117,,bray-p 1,1.2426,mgP/L,0.133112,Thu Jul 10 18:38:08 2025,1,3
118,,bray-p 1,1.1116,mgP/L,0.119594,Thu Jul 10 18:39:28 2025,1,3
119,,bray-p 1,1.0761,mgP/L,0.11593,Thu Jul 10 18:40:47 2025,1,3
120,,bray-p 1,1.0364,mgP/L,0.111835,Thu Jul 10 18:41:44 2025,1,3
C C V,,bray-p 1,0.533,mgP/L,0.169898,Thu Jul 10 17:06:38 2025,1,1
C C B ,,bray-p 1,-0.0016,mgP/L,0.004359,Thu Jul 10 17:07:58 2025,1,1
121,,bray-p 1,1.1242,mgP/L,0.120898,Thu Jul 10 18:42:45 2025,1,3
122,,bray-p 1,0.9075,mgP/L,0.285862,Thu Jul 10 17:10:36 2025,1,1
123,,bray-p 1,0.9488,mgP/L,0.298649,Thu Jul 10 17:11:54 2025,1,1
