Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,bray-p 1, 0.5289,mgP/L,0.168628,Thu Jul 10 19:11:35 2025,1,1
C C B ,,bray-p 1,-0.0017,mgP/L,0.004330,Thu Jul 10 19:12:56 2025,1,1
165,,bray-p 1, 0.2606,mgP/L,0.085555,Thu Jul 10 19:14:14 2025,1,1
166,,bray-p 1, 0.5382,mgP/L,0.171499,Thu Jul 10 19:15:32 2025,1,1
167,,bray-p 1, 0.5013,mgP/L,0.160096,Thu Jul 10 19:16:50 2025,1,1
168,,bray-p 1, 0.0030,mgP/L,0.005794,Thu Jul 10 19:18:08 2025,1,1
169,,bray-p 1, 0.2335,mgP/L,0.077170,Thu Jul 10 19:19:26 2025,1,1
170,,bray-p 1, 0.3657,mgP/L,0.118113,Thu Jul 10 19:20:44 2025,1,1
171,,bray-p 1, 0.2790,mgP/L,0.091247,Thu Jul 10 19:22:02 2025,1,1
172,,bray-p 1, 0.3041,mgP/L,0.099019,Thu Jul 10 19:23:20 2025,1,1
173,,bray-p 1, 0.1935,mgP/L,0.064767,Thu Jul 10 19:24:39 2025,1,1
174,,bray-p 1, 0.3477,mgP/L,0.112513,Thu Jul 10 19:25:57 2025,1,1
C C V,,bray-p 1, 0.5456,mgP/L,0.173807,Thu Jul 10 19:27:15 2025,1,1
C C B ,,bray-p 1,-0.0009,mgP/L,0.004586,Thu Jul 10 19:28:35 2025,1,1
175,,bray-p 1, 0.1925,mgP/L,0.064476,Thu Jul 10 19:29:54 2025,1,1
176,,bray-p 1, 0.4890,mgP/L,0.156276,Thu Jul 10 19:31:12 2025,1,1
177,,bray-p 1, 0.2285,mgP/L,0.075624,Thu Jul 10 19:32:29 2025,1,1
178,,bray-p 1, 0.4188,mgP/L,0.134553,Thu Jul 10 19:33:47 2025,1,1
179,,bray-p 1, 0.2881,mgP/L,0.094071,Thu Jul 10 19:35:04 2025,1,1
180,,bray-p 1,-0.0004,mgP/L,0.004758,Thu Jul 10 19:36:21 2025,1,1
181,,bray-p 1, 0.2280,mgP/L,0.075473,Thu Jul 10 19:37:38 2025,1,1
182,,bray-p 1, 0.2703,mgP/L,0.088573,Thu Jul 10 19:38:55 2025,1,1
183,,bray-p 1, 0.2520,mgP/L,0.082903,Thu Jul 10 19:40:12 2025,1,1
184,,bray-p 1, 0.4592,mgP/L,0.147060,Thu Jul 10 19:41:29 2025,1,1
C C V,,bray-p 1, 0.5355,mgP/L,0.170683,Thu Jul 10 19:42:46 2025,1,1
C C B ,,bray-p 1,-0.0008,mgP/L,0.004628,Thu Jul 10 19:44:07 2025,1,1
185,,bray-p 1, 0.2748,mgP/L,0.089944,Thu Jul 10 19:45:26 2025,1,1
186,,bray-p 1, 0.2508,mgP/L,0.082519,Thu Jul 10 19:46:43 2025,1,1
187,,bray-p 1, 0.4244,mgP/L,0.136290,Thu Jul 10 19:48:00 2025,1,1
188,,bray-p 1, 0.6030,mgP/L,0.191583,Thu Jul 10 19:49:17 2025,1,1
189,,bray-p 1, 0.3433,mgP/L,0.111176,Thu Jul 10 19:50:34 2025,1,1
165,,bray-p 1, 0.2603,mgP/L,0.085451,Thu Jul 10 19:51:51 2025,1,1
190,,bray-p 1, 0.4075,mgP/L,0.131028,Thu Jul 10 19:53:08 2025,1,1
191,,bray-p 1, 0.2564,mgP/L,0.084249,Thu Jul 10 19:54:24 2025,1,1
192,,bray-p 1, 0.8291,mgP/L,0.261567,Thu Jul 10 19:55:41 2025,1,1
193,,bray-p 1, 0.3743,mgP/L,0.120748,Thu Jul 10 19:56:58 2025,1,1
C C V,,bray-p 1, 0.5359,mgP/L,0.170801,Thu Jul 10 19:58:15 2025,1,1
C C B ,,bray-p 1,-0.0015,mgP/L,0.004419,Thu Jul 10 19:59:36 2025,1,1
194,,bray-p 1, 0.4904,mgP/L,0.156721,Thu Jul 10 20:00:55 2025,1,1
195,,bray-p 1, 0.4184,mgP/L,0.134412,Thu Jul 10 20:02:12 2025,1,1
196,,bray-p 1, 0.3634,mgP/L,0.117379,Thu Jul 10 20:03:29 2025,1,1
197,,bray-p 1, 0.4868,mgP/L,0.155594,Thu Jul 10 20:04:47 2025,1,1
198,,bray-p 1, 0.2289,mgP/L,0.075751,Thu Jul 10 20:06:04 2025,1,1
199,,bray-p 1, 0.3483,mgP/L,0.112722,Thu Jul 10 20:07:22 2025,1,1
200,,bray-p 1, 0.4208,mgP/L,0.135153,Thu Jul 10 20:08:39 2025,1,1
201,,bray-p 1, 0.3064,mgP/L,0.099738,Thu Jul 10 20:09:57 2025,1,1
202,,bray-p 1, 0.2229,mgP/L,0.073897,Thu Jul 10 20:11:15 2025,1,1
203,,bray-p 1, 0.4509,mgP/L,0.144472,Thu Jul 10 20:12:33 2025,1,1
C C V,,bray-p 1, 0.5407,mgP/L,0.172288,Thu Jul 10 20:13:51 2025,1,1
C C B ,,bray-p 1,-0.0006,mgP/L,0.004677,Thu Jul 10 20:15:12 2025,1,1
204,,bray-p 1, 0.2365,mgP/L,0.078108,Thu Jul 10 20:16:31 2025,1,1
205,,bray-p 1, 0.2559,mgP/L,0.084089,Thu Jul 10 20:17:48 2025,1,1
206,,bray-p 1, 0.2367,mgP/L,0.078146,Thu Jul 10 20:19:06 2025,1,1
207,,bray-p 1, 0.2076,mgP/L,0.069160,Thu Jul 10 20:20:24 2025,1,1
208,,bray-p 1, 0.3999,mgP/L,0.128694,Thu Jul 10 20:21:42 2025,1,1
209,,bray-p 1, 0.2384,mgP/L,0.078696,Thu Jul 10 20:22:59 2025,1,1
210,,bray-p 1, 0.2744,mgP/L,0.089846,Thu Jul 10 20:24:17 2025,1,1
211,,bray-p 1, 0.2713,mgP/L,0.088872,Thu Jul 10 20:25:35 2025,1,1
212,,bray-p 1, 0.2688,mgP/L,0.088107,Thu Jul 10 20:26:55 2025,1,1
213,,bray-p 1, 0.3927,mgP/L,0.126465,Thu Jul 10 20:28:14 2025,1,1
C C V,,bray-p 1, 0.5316,mgP/L,0.169459,Thu Jul 10 20:29:11 2025,1,1
C C B ,,bray-p 1, 0.0002,mgP/L,0.004925,Thu Jul 10 20:30:13 2025,1,1
