Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,bray-p 1,0.5197,mgP/L,0.165794,Thu Jul 10 21:00:30 2025,1,1
C C B ,,bray-p 1,-0.0009,mgP/L,0.004598,Thu Jul 10 21:01:50 2025,1,1
220,,bray-p 1,0.2427,mgP/L,0.080001,Thu Jul 10 21:03:09 2025,1,1
221,,bray-p 1,0.2445,mgP/L,0.080571,Thu Jul 10 21:04:26 2025,1,1
222,,bray-p 1,0.2656,mgP/L,0.087097,Thu Jul 10 21:05:44 2025,1,1
223,,bray-p 1,0.3142,mgP/L,0.102163,Thu Jul 10 21:07:02 2025,1,1
224,,bray-p 1,0.3312,mgP/L,0.107421,Thu Jul 10 21:08:20 2025,1,1
225,,bray-p 1,0.2576,mgP/L,0.084644,Thu Jul 10 21:09:38 2025,1,1
226,,bray-p 1,0.3629,mgP/L,0.117247,Thu Jul 10 21:10:56 2025,1,1
227,,bray-p 1,0.2282,mgP/L,0.075525,Thu Jul 10 21:12:14 2025,1,1
228,,bray-p 1,0.2697,mgP/L,0.088367,Thu Jul 10 21:13:33 2025,1,1
229,,bray-p 1,0.2743,mgP/L,0.0898,Thu Jul 10 21:14:51 2025,1,1
C C V,,bray-p 1,0.5239,mgP/L,0.167076,Thu Jul 10 21:16:09 2025,1,1
C C B ,,bray-p 1,0,mgP/L,0.004874,Thu Jul 10 21:17:29 2025,1,1
230,,bray-p 1,2.9714,mgP/L,0.311544,Thu Jul 10 22:07:48 2025,1,3
231,,bray-p 1,0.2479,mgP/L,0.081612,Thu Jul 10 21:20:06 2025,1,1
232,,bray-p 1,0.2482,mgP/L,0.081718,Thu Jul 10 21:21:23 2025,1,1
233,,bray-p 1,0.218,mgP/L,0.072371,Thu Jul 10 21:22:41 2025,1,1
234,,bray-p 1,0.21,mgP/L,0.069894,Thu Jul 10 21:23:58 2025,1,1
235,,bray-p 1,0.6694,mgP/L,0.212126,Thu Jul 10 21:25:15 2025,1,1
220,,bray-p 1,0.2444,mgP/L,0.080547,Thu Jul 10 21:26:32 2025,1,1
236,,bray-p 1,0.4619,mgP/L,0.147879,Thu Jul 10 21:27:49 2025,1,1
237,,bray-p 1,2.0696,mgP/L,0.218471,Thu Jul 10 22:08:41 2025,1,3
238,,bray-p 1,0.2677,mgP/L,0.087761,Thu Jul 10 21:30:23 2025,1,1
C C V,,bray-p 1,0.5201,mgP/L,0.165917,Thu Jul 10 21:31:40 2025,1,1
C C B ,,bray-p 1,-0.0008,mgP/L,0.004612,Thu Jul 10 21:33:01 2025,1,1
239,,bray-p 1,0.3116,mgP/L,0.101343,Thu Jul 10 21:34:20 2025,1,1
240,,bray-p 1,0.2253,mgP/L,0.074622,Thu Jul 10 21:35:37 2025,1,1
241,,bray-p 1,0.23,mgP/L,0.076094,Thu Jul 10 21:36:54 2025,1,1
242,,bray-p 1,0.0164,mgP/L,0.009933,Thu Jul 10 21:38:11 2025,1,1
243,,bray-p 1,0.3176,mgP/L,0.103208,Thu Jul 10 21:39:31 2025,1,1
244,,bray-p 1,0.2282,mgP/L,0.075515,Thu Jul 10 21:40:50 2025,1,1
245,,bray-p 1,0.3653,mgP/L,0.117967,Thu Jul 10 21:41:47 2025,1,1
246,,bray-p 1,0.2294,mgP/L,0.075893,Thu Jul 10 21:42:48 2025,1,1
247,,bray-p 1,0.4578,mgP/L,0.146611,Thu Jul 10 21:43:41 2025,1,1
248,,bray-p 1,0.1993,mgP/L,0.066577,Thu Jul 10 21:44:35 2025,1,1
C C V,,bray-p 1,0.5213,mgP/L,0.16629,Thu Jul 10 21:45:28 2025,1,1
C C B ,,bray-p 1,-0.0004,mgP/L,0.004755,Thu Jul 10 21:46:21 2025,1,1
249,,bray-p 1,0.5463,mgP/L,0.174026,Thu Jul 10 21:47:15 2025,1,1
250,,bray-p 1,0.2803,mgP/L,0.091655,Thu Jul 10 21:48:08 2025,1,1
220,,bray-p 1,0.2475,mgP/L,0.081487,Thu Jul 10 21:49:01 2025,1,1
C C V,,bray-p 1,0.5228,mgP/L,0.166747,Thu Jul 10 21:49:54 2025,1,1
C C B ,,bray-p 1,0,mgP/L,0.004867,Thu Jul 10 21:50:48 2025,1,1
CCV,,bray-p 1,0.5211,mgP/L,0.166213,Thu Jul 10 22:06:01 2025,1,1
CCB,,bray-p 1,-0.0003,mgP/L,0.004786,Thu Jul 10 22:06:55 2025,1,1
CCV,,bray-p 1,0.5379,mgP/L,0.171413,Thu Jul 10 22:09:35 2025,1,1
CCB,,bray-p 1,-0.0011,mgP/L,0.004514,Thu Jul 10 22:10:28 2025,1,1
